Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
Your Place or Mine,Yes,2023-02-10,163000000,36862.0,5.7,"['Comedy', 'Romance']","friend,best friend,volunteer,teenager,son",
Chiquititas (2013),No,,162000000,257.0,5.2,"['Drama', 'Family', 'Musical']","manor,orphan,escape,kidnapping,schoolgirl","The orphans living at the manor known as Raio de Luz have their tough reality transformed by a sweet-hearted, dedicated young woman."
Emily in Paris: Season 3,Yes,2022-12-21,161100000,112694.0,6.9,"['Comedy', 'Drama', 'Romance']","female protagonist,character name in series title,american in france,location in series title,marketing",A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,2022-12-22,157600000,119246.0,6.2,"['Adventure', 'Family', 'Fantasy']","alice character,caterpillar character,the mad hatter character,march hare character,dormouse character",
Alchemy of Souls: Part 1 // 환혼: 파트 1,Yes,2022-06-18,155300000,,,"['Action', 'Adventure', 'Drama']","planet,moon,space,galaxy,young","When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival."
Outer Banks: Season 2,Yes,2021-07-30,153900000,74403.0,7.5,"['Action', 'Crime', 'Drama']","treasure,treasure map,treasure hunt,coming of age,young","On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father&apos;s disappearance."
New Amsterdam (2018): Season 1,No,,153000000,,,['Short'],drone,
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,No,2022-10-19,152100000,650.0,7.9,"['Animation', 'Action', 'Adventure']","betrayal by a friend,betrayal,magneto character,morph character,shapeshifter",Jean and Scott get married. Newly elected President Kelly has freed Beast who has been incarcerated since the attack on government facility at the beginning of Season 1 and added him as part of his Presidential cabinet. Another fr...
Mr. Queen // 철인왕후,No,,151500000,7000.0,4.7,"['Comedy', 'Drama', 'Romance']","two word title,2000s,male to female cross dressing,nba,national basketball association",A star basketball player decides to dress up as a woman and join the women&apos;s professional basketball league when his on-court antics get him suspended.
Manifest: Season 1,No,2021-06-10,151400000,,,,,
Alchemy of Souls: Part 2 // 환혼: 파트 2,Yes,2022-12-10,150200000,344.0,6.0,"['Adventure', 'Comedy', 'Family']","rapping animal,rapping penguin,talking animal,talking penguin,sequel","Follows Ida and Benni, who attend to The Winterstein School, which is no ordinary school, and must team together with their magical animals to solve the puzzle of mysterious holes that appeared on the school grounds."
PAW Patrol: Season 6,No,,149300000,38.0,5.2,"['Short', 'Drama', 'Western']","low budget short,gang,santa fe trail series,male female relationship,u.s. marshal",A cavalry officer is framed for the murder of a fellow officer and cashiered out of the army. After he gets out of prison he vows to find the renegade who framed him and bring him to justice.
The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈,Yes,2023-04-26,148600000,3849.0,8.4,"['Comedy', 'Crime', 'Drama']","tragedy drama,sitcom comedy","A tragic accident leaves an ambitious prosecutor with the mind of a child, forcing him and his mother to embark on a journey to heal their relationship."
The Recruit: Season 1,Yes,2022-12-16,146900000,11869.0,8.4,['Short'],,
Bloodhounds: Season 1 // 사냥개들: 시즌 1,Yes,2023-06-09,146700000,,,"['Documentary', 'History']",,
Glass Onion: A Knives Out Mystery,Yes,2022-12-23,142900000,419661.0,7.1,"['Comedy', 'Crime', 'Drama']","sequel,detective,benoit blanc character,twin sister,private island",
Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2,No,2023-03-01,140100000,102.0,4.9,['Horror'],,
Black Mirror: Season 6,Yes,2023-06-15,139900000,,,,,
Triptych: Season 1 // Tríada: Temporada 1,Yes,2023-02-22,139300000,,,,,
The Walking Dead: Season 11,No,,136800000,1058121.0,8.1,"['Drama', 'Horror', 'Thriller']","zombie,survival,post apocalypse,based on comic,zombie apocalypse",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
Bridgerton: Season 1,Yes,2020-12-25,136600000,,,,,
CoComelon: Season 1,No,2020-05-31,136200000,,,,,
Extraordinary Attorney Woo: Season 1 // 이상한 변호사 우영우: 시즌 1,Yes,2022-06-29,135900000,27.0,9.4,['Short'],,
The Snow Girl: Season 1 // La chica de nieve: Temporada 1,Yes,2023-01-27,134800000,15.0,5.6,"['Animation', 'Short']",,
Stranger Things 4,Yes,2022-05-27,133600000,18.0,9.4,"['Drama', 'Fantasy', 'Horror']",,
