Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
Shooter: Season 1,No,2016-11-16,48600000,,,"['Short', 'Musical']",,
Brooklyn Nine-Nine: Season 5,No,,48500000,38139.0,6.9,['Comedy'],"workplace,female protagonist,friendship between women,1980s,women&apos;s equality","Three female employees of a sexist, egotistical, lying, hypocritical bigot find a way to turn the tables on him."
Rosario Tijeras (Mexico): Season 1,No,,48500000,,,,,
The Smurfs (2021): Season 1,No,,48400000,11869.0,8.4,['Short'],,
Emily in Paris: Season 1,Yes,2020-10-02,48300000,9109.0,7.0,"['Adventure', 'Comedy', 'Family']","aviator,risk taking,air race,vintage aircraft,london england","Hoping to push Britain to the forefront of aviation, a London publisher organizes an international air race across the English Channel, but must contend with two entrants vying for his daughter, as well as national rivalries and c..."
The Magician's Elephant,Yes,2023-03-17,48300000,5286.0,6.5,"['Animation', 'Adventure', 'Comedy']","magician,elephant,cloud,journey,magic",
Friends (1994): Season 5,No,,48200000,,,,,
Shrek,No,,48100000,718336.0,7.9,"['Animation', 'Adventure', 'Comedy']","onion,epic,shrek character,exploding animal,ethnic cleansing","A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
Suits (2011): Season 7,Yes,,48100000,,,"['Short', 'Comedy']",,
Teen Titans Go!: Season 5,No,,48100000,4605.0,6.8,"['Animation', 'Action', 'Adventure']","crossover,teen titans,dc comics,alternate dimension,cartoon network",The comedic Teen Titans of Teen Titans Go. Take on their serious counterparts when villains from each of their worlds team up to pit the two Titan teams against each other.
American Manhunt: The Boston Marathon Bombing: Limited Series,Yes,2023-04-12,47900000,6282.0,7.5,"['Documentary', 'Crime', 'History']","boston marathon,boston marathon bombing,bomb,year 2013,manhunt",Follows the tragedy in which terrorists detonated a bomb at the Boston Marathon&apos;s finish line; they carried out the attack by placing two homemade pressure-cooker bombs that resulted in three fatalities and numerous injuries.
Twenty Five Twenty One: Season 1 // 스물다섯 스물하나: 시즌 1,Yes,2022-02-12,47800000,1299.0,6.9,"['Mystery', 'Thriller']",investigation,"An ingenious cop, Nanda Kishore, sets out to untangle a string of mysterious murders in Kochi. As the secrets unveil themselves, he finds himself in a dilemma."
Shrek 2,No,,47500000,494480.0,7.3,"['Animation', 'Adventure', 'Comedy']","ogre,princess,sequel,king,prince",
JUNG_E // 정이,Yes,2023-01-20,47100000,10206.0,5.5,"['Action', 'Adventure', 'Drama']","character name as title,22nd century,future,robot,futuristic","On an uninhabitable 22nd-century Earth, the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary."
Friends (1994): Season 3,No,,46900000,,,"['Documentary', 'Short']",,
The School for Good and Evil,Yes,2022-10-19,46900000,34327.0,5.9,"['Action', 'Comedy', 'Drama']","school,hero,academy,master,witch",
Puss in Boots (2011),No,,46600000,188186.0,6.6,"['Animation', 'Action', 'Adventure']","anthropomorphic animal,origin of hero,action hero,action heroine,split screen","An outlaw cat, his childhood egg-friend, and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor, and regain the trust of his mother and town."
The Thundermans: Season 2,No,,46500000,8165.0,8.7,"['Drama', 'Horror', 'Thriller']","single player,xbox 360,microsoft windows,playstation 3,graphic adventure","Left to fend for herself, Clementine has been forced to learn how to survive in a world gone mad. Many months have passed and she is in search of safety."
Friends (1994): Season 1,No,,46400000,,,['Short'],,A behind the scenes look at NCIS Season 15.
Teen Titans Go!: Season 1,No,,46400000,4605.0,6.8,"['Animation', 'Action', 'Adventure']","crossover,teen titans,dc comics,alternate dimension,cartoon network",The comedic Teen Titans of Teen Titans Go. Take on their serious counterparts when villains from each of their worlds team up to pit the two Titan teams against each other.
Rana Naidu: Season 1 // राणा नायडू: सीज़न 1,Yes,2023-03-10,46300000,,,,,
From Scratch: Limited Series,Yes,2022-10-21,46200000,,,['Reality-TV'],non fiction,"Writing has been my passion since I was 15 years old when I entered my first writing competition. My goals of becoming a writer were quickly put on hold as life delivered me setback after setback and obstacles left and right. Now,..."
Bake Squad: Season 2,Yes,2023-01-20,46100000,251.0,1.6,"['Short', 'Comedy']",,
Friends (1994): Season 7,No,,46100000,,,,,
Under the Queen's Umbrella: Limited Series // 슈룹: 리미티드 시리즈,Yes,2022-10-15,46100000,2396.0,8.5,"['Comedy', 'Drama']","joseon dynasty,queen,royal palace,royalty,historical fiction","Im Hwa Ryeong, a prickly, sensitive and hot-tempered queen, tries to turn her trouble making princes into proper crown princes."
Ganglands: Season 2 // Braqueurs : La série: Saison 2,Yes,2023-02-17,46000000,14.0,8.4,"['Animation', 'Drama', 'Sport']","donghua,chinese animation,chinese anime,team sports,basketball","The story focuses on Xu Xing Ze, a passionate basketball player, as he navigates high school, love, and of course basketball."
The Queen's Gambit: Limited Series,Yes,2020-10-23,45900000,12.0,4.4,"['Short', 'Drama']","chess,teenager","It&apos;s 1940&apos;s Australia and siblings Maggie and Charles must endure taunts of newly enlisted teenagers, grapple with the fact that neither of them can fight in the war and resort to chess in order to pass the time."
Virgin River: Season 4,Yes,2022-07-20,45900000,,,,,
Gabby's Dollhouse: Season 7,Yes,2023-03-20,45800000,,,,,
A Beautiful Life,Yes,2023-06-01,45700000,6676.0,6.4,"['Drama', 'Music', 'Romance']","performer,fisherman,song,life,manager","Elliott, a young fisherman with an extraordinary voice, gets the chance of a lifetime when high-profile music manager Suzanne discovers him at a party."
A Beautiful Life,Yes,2023-06-01,45700000,6676.0,6.4,"['Drama', 'Music', 'Romance']","performer,fisherman,song,life,manager","Elliott, a young fisherman with an extraordinary voice, gets the chance of a lifetime when high-profile music manager Suzanne discovers him at a party."
Peppa Pig: Season 6,No,,45700000,34.0,6.2,"['Short', 'Comedy']","sons,cow,farmer,bride",
Copycat Killer: Season 1 // 模仿犯: 第 1 季,Yes,2023-03-31,45600000,26.0,5.9,"['Short', 'Documentary']","educational film,world war two,enemy,japanese soldier,training film","In this WWII short training film, a Japanese sniper, who has just been captured by an American soldier, explains how easy it was to pick off ten troops from the G.I. platoon, due to mistakes they, themselves, had made."
Avatar: The Last Airbender: Book 1,No,,45500000,349385.0,9.3,"['Animation', 'Action', 'Adventure']","fire,water,action girl,coming of age,spirit","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
Friends (1994): Season 9,No,,45400000,147.0,8.7,"['Short', 'Comedy']","sitcom production,colon in title,five word title,kiss on the cheek,2000s",Compilation of the bloopers from season 9.
Peaky Blinders: Season 2,No,2014-11-14,45400000,56.0,9.3,['Talk-Show'],,Josh and David recap and review the full third season of BBC&apos;s Peaky Blinders (2013).
The Flash (2014): Season 2,No,,45400000,66.0,7.7,"['Documentary', 'Short']",,
Boys Over Flowers: Volume 1 // 꽃보다 남자: 1권,No,,45300000,13846.0,7.8,"['Comedy', 'Drama', 'Romance']","live action manga adaptation,live action adaptation,kdrama,korean drama,best friend","Poor girl attends the elite Shin Hwa High and is bullied by the leader of F4 (the four richest boys). He becomes attracted to her; however, she has a crush on his best friend. Whom will she choose?"
The Office (U.S.): Season 2,No,,45300000,2467.0,7.6,"['Comedy', 'Drama']","jew,nazi,liberation,pet&apos;s grave,love letter",
Transatlantic: Limited Series,Yes,2023-04-07,45300000,,,,,
Friends (1994): Season 4,No,,45200000,,,,,
Masha and the Bear: Season 2,No,,45100000,101.0,7.9,"['Animation', 'Family']",,
Friends (1994): Season 8,No,,44900000,,,,,
The Woman King,No,,44900000,69736.0,6.9,"['Action', 'Drama', 'History']","africa,female warrior,military training,slave trade,epic history","A historical epic inspired by true events that took place in The Kingdom of Dahomey, one of the most powerful states of Africa in the 18th and 19th centuries."
Love Island USA: Season 2,No,,44800000,1452.0,5.0,"['Game-Show', 'Reality-TV']","dating and romance reality tv,dating game show,non fiction",
Money Heist: Part 5 // La casa de papel: Parte 5,Yes,2021-09-03,44700000,515709.0,8.2,"['Action', 'Crime', 'Drama']","heist,robbery,spain,mint,professor",
The Walking Dead: Season 1,No,,44600000,14591.0,9.2,"['Drama', 'Horror', 'Sci-Fi']","interactive drama,playstation 3,xbox 360,microsoft windows,single player",
Grey's Anatomy: Season 3,No,,44300000,,,"['Documentary', 'Short']",,
S.W.A.T. (2017): Season 3,No,,44200000,,,['Talk-Show'],,"Eric, Melanie and Aaron react to and discuss Supergirl Season 3 Trailer - SDCC 2017"
Las muñecas de la mafia: Season 1,No,2015-07-01,44000000,351.0,6.5,['Drama'],,Follows the lives of five young women in Colombia and each of their ties with drug traffickers and trafficking.
Lucifer: Season 4,No,2019-05-08,44000000,,,['Comedy'],devil,The Devil&apos;s son decides to make Hell more up-to-date and with it.
Better Call Saul: Season 5,No,2020-02-24,43900000,620143.0,9.0,"['Crime', 'Drama']","lawyer,spin off,psychosomatic illness,criminal lawyer,drug trade",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
Teen Wolf (2011): Season 3,No,,43900000,460.0,8.2,['Drama'],cast,"The cast of MTV&apos;s Teen Wolf sit down to be interviewed about what has happened in the season, and what they think might be coming up."
Friends (1994): Season 2,No,,43800000,,,['Reality-TV'],,
In Love All Over Again: Season 1 // Todas las veces que nos enamoramos: Season 1,Yes,2023-02-14,43800000,666.0,4.6,"['Comedy', 'Romance']","journalist,teacher",The relationship of a well-known journalist and a down-to-earth teacher goes through hard times when she takes a new job.
PIECES OF HER: Season 1,Yes,2022-03-04,43800000,11869.0,8.4,['Short'],,
F9: The Fast Saga,No,,43700000,157640.0,5.2,"['Action', 'Crime', 'Thriller']","fast and furious franchise,car,gunfight,shootout,gun battle",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia&apos;s estranged brother.
The 100: Season 1,No,,43600000,,,,,
The Blacklist: Season 7,No,,43500000,7.0,7.6,"['Documentary', 'Short']",,
Vikings (2013): Season 5,No,,43400000,7559.0,9.0,"['Documentary', 'Short']",,
Shameless (U.S.): Season 2,No,,43300000,14.0,7.7,['Short'],,
The Office (U.S.): Season 6,No,,43300000,64.0,9.3,['Short'],,
El Chema: Season 1,No,,43200000,,,"['Documentary', 'Short']",,A in-depth look at season 14 of Criminal Minds.
Rosario Tijeras (Mexico): Season 2,No,,43200000,419.0,6.3,"['Action', 'Crime', 'Drama']",,The story of a female warrior from one of Mexico City&apos;s poorest and most dangerous neighborhoods.
Santiago of the Seas: Season 1,No,,43200000,11869.0,8.4,['Short'],,
Seinfeld: Season 6,Yes,,43200000,,,,,
Inside Man: Season 1,Yes,2022-10-31,43100000,28.0,8.1,['Short'],,
The Last Kingdom: Season 4,No,2020-04-26,42900000,33179.0,6.9,"['Action', 'Drama', 'History']","anglo saxon,kingdom,exploration,warrior,epic","In the wake of King Edward&apos;s death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last."
Through My Window 2: Across the Sea // A través de mi ventana 2: A través del mar,Yes,2023-06-23,42900000,4159.0,5.0,"['Comedy', 'Drama', 'Romance']","sequel,second part,wattpad,love,window","Ares and Raquel maintain a long-distance relationship during his studies in Stockholm. When they meet again, they find that their period of separation has put their love to the test."
CoComelon: Season 6,Yes,2022-09-05,42800000,,,,,
Seinfeld: Season 4,Yes,,42800000,,,,,
Valeria: Season 3,Yes,2023-06-02,42800000,,,"['Short', 'Horror']",,
Pokémon The Series: Indigo League: Season 1 // ポケットモンスター,No,,42700000,,,"['Comedy', 'Drama']","football,web series","The League is about a careful young man, Ben Porter, who finds himself at the threshold of becoming a dad. He takes no risks except that in his Fantasy Football League. Finding himself in debt and wondering how to become a good fa..."
Purple Hearts,Yes,2022-07-29,42700000,48435.0,6.7,"['Drama', 'Music', 'Romance']","love,singer,heart,two word title,color in title","In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits, but when tragedy strikes, the line between real and pretend begins to blur."
The Last Kingdom: Season 3,Yes,2018-11-19,42700000,33179.0,6.9,"['Action', 'Drama', 'History']","anglo saxon,kingdom,exploration,warrior,epic","In the wake of King Edward&apos;s death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last."
Waco: American Apocalypse: Limited Series,Yes,2023-03-22,42700000,7146.0,7.0,"['Documentary', 'Crime']","crime documentary,religion,god loving,government,waco siege","It showcases what happened in 1993 in Waco, Texas when cult leader David Koresh faced off against the federal government in a 51-day siege."
Gabby's Dollhouse: Season 2,Yes,2021-08-10,42600000,,,,,
Too Hot to Handle: Season 4,Yes,2022-12-07,42600000,1648.0,6.6,"['Adventure', 'Comedy', 'Drama']","secretary,screwball comedy,poker the card game,gable and loy,new york","Two rival newsreel photographers join forces to find an aviatrix&apos;s missing brother, who has disappeared in the Amazon rainforest."
Guillermo del Toro’s Pinocchio,Yes,2022-12-09,42500000,684.0,7.6,"['Documentary', 'Short']",,Behind the scenes discussion of animation techniques and the making of Pinocchio.
Unlocked // 스마트폰을 떨어뜨렸을 뿐인데,Yes,2023-02-17,42500000,9010.0,6.4,"['Crime', 'Drama', 'Mystery']","plot twist,criminal,smartphone,worker,cell phone",A woman&apos;s life is turned upside-down when a dangerous man gets hold of her lost cell phone and uses it to track her every move.
Unlocked // 스마트폰을 떨어뜨렸을 뿐인데,Yes,2023-02-17,42500000,9011.0,6.4,"['Crime', 'Drama', 'Mystery']","plot twist,criminal,smartphone,worker,cell phone",A woman&apos;s life is turned upside-down when a dangerous man gets hold of her lost cell phone and uses it to track her every move.
The Crown: Season 1,Yes,2016-11-04,42400000,,,,,
Arrow: Season 1,No,,42300000,6.0,7.0,['Talk-Show'],,
Blippi's Adventures: Season 1,Yes,,42100000,94.0,5.2,"['Family', 'Animation', 'Short']","buddy,cookie,surrealism,looney tunes,character name in title",
The Good Doctor: Season 4,No,,42100000,7202.0,5.5,"['Drama', 'Thriller']","stethoscope exam,male doctor in love with female patient,tubi tv,car,u.s. car",A young doctor goes to unconscionable extremes in order to remain in the service of a female patient with a kidney disorder.
Lucifer: Season 6,No,2021-09-10,41800000,,,,,
"Pamela, a love story",Yes,2023-01-31,41800000,12255.0,7.2,"['Documentary', 'Biography']","actress,love,reference to pamela anderson,personal,career","Follows the life of pop culture icon Pamela Anderson, including never-before-seen archival footage and personal journals."
Chor Nikal Ke Bhaga // चोर निकल के भागा,Yes,2023-03-24,41700000,51896.0,7.5,"['Crime', 'Drama', 'Thriller']","airplane,heist,diamond,accident,plane",
Seinfeld: Season 7,Yes,,41700000,,,,,
The Garfield Show: Season 1,No,,41500000,11869.0,8.4,['Short'],,
Agency: Season 1 // 대행사: 시즌 1,No,,41400000,,,,,"A German businessman is found dead in a locked room of a luxury Moscow hotel. Murder for the purpose of robbery? A contract killing? The police are starting to check all possible versions, and soon it becomes known that this perso..."
White Chicks,No,,41400000,159287.0,5.8,"['Comedy', 'Crime']","whiteface,undercover,dress shop,dancing,gender disguise",
Wellmania: Season 1,Yes,2023-03-29,41300000,,,,,
Seinfeld: Season 3,Yes,,41200000,,,['Adventure'],,
The Creature Cases: Chapter 1,Yes,2022-04-12,41200000,,,['Horror'],,A young couple drive cross-country toward a new beginning; unfortunately they have no choice but to stop in a secluded Airbnb in Oregon--and endure a night of terror against three masked strangers.
Maestro in Blue: Season 1 // Maestro: Season 1,Yes,2022-12-18,41100000,7.0,8.7,"['Animation', 'Comedy', 'Sci-Fi']",,
Turbo (2013),No,,41100000,,,,,
McGREGOR FOREVER: Limited Series,Yes,2023-05-17,41000000,,,,,
Black Money Love: Season 1 // Kara Para Ask: Sezon 1,No,,40900000,22.0,8.5,['Short'],,
Bloodshot (2020),No,,40900000,83168.0,5.7,"['Action', 'Adventure', 'Sci-Fi']","valiant comics,superhero,revenge,cyborg,nanotechnology","Ray Garrison, a slain soldier, is re-animated with superpowers."
The Flash (2014): Season 8,No,,40900000,418.0,6.5,"['Animation', 'Action', 'Drama']","buffy summers character,motion comic",
El Chapo: Season 1,Yes,2017-06-16,40600000,,,,,
Shameless (U.S.): Season 3,No,,40600000,,,,,
Demon Slayer: Kimetsu no Yaiba: Swordsmith Village Arc // 鬼滅の刃: 刀鍛冶の里編,No,,40500000,9824.0,7.5,"['Animation', 'Action', 'Adventure']","anime animation,skinny dipping,female nudity,female rear nudity,mild female nudity",All the Upper Rank Demons assemble at the Infinity Castle after Upper Six Demons&apos; defeat.
Jane The Virgin: Season 2,No,,40400000,237.0,9.3,"['Documentary', 'Short']",,
The Snitch Cartel: Origins: Season 1 // El cartel de los sapos: El origen: Temporada 1,No,2021-07-28,40400000,,,"['Animation', 'Action', 'Adventure']",biotech sci fi,"In 2053, war is big money. Two mercenaries have to extract biotech searchers. To accomplish their mission, they&apos;ll have to face the n°1 private army."
Guillermo del Toro's Cabinet of Curiosities: Season 1,Yes,2022-10-25,40300000,54159.0,7.0,"['Drama', 'Horror', 'Mystery']","anthology,midnight,horrific,horrifying,sinister","Bizarre nightmares unfold in eight tales of terror in a visually stunning, spine-tingling horror collection curated by Guillermo del Toro."
Pokémon Journeys: The Series: Season 1,No,,40300000,991.0,7.2,"['Animation', 'Adventure', 'Comedy']","teen fantasy,comic,anime animation","With his partner Goh and his Pokémon Scorbunny in the Galar region, Ash with his Pikachu tries to capture Mew and all the Pokémon. Meanwhile, the three members of Team Rocket Jessie, James and Meowth return to their old competence..."
Seinfeld: Season 5,Yes,,40300000,,,,,
Shrek Forever After,No,,40300000,,,,,
The 100: Season 2,No,,40300000,,,,,
Unsolved Mysteries: Volume 3,Yes,2022-10-18,40300000,,,,,
Better Call Saul: Season 3,No,2017-04-11,40200000,620143.0,9.0,"['Crime', 'Drama']","lawyer,spin off,psychosomatic illness,criminal lawyer,drug trade",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
The Last Kingdom: Season 2,Yes,2017-03-20,40200000,33179.0,6.9,"['Action', 'Drama', 'History']","anglo saxon,kingdom,exploration,warrior,epic","In the wake of King Edward&apos;s death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last."
Too Hot to Handle: Germany: Season 1,Yes,2023-02-28,40200000,383.0,4.6,"['Game-Show', 'Reality-TV', 'Romance']","too hot to handle,germany,fremantle media,ufa show & factual,fictional tv reality show","Ten gorgeous singles meet in a tropical paradise. Little do they know that to win the EUR200,000 prize, they&apos;ll have to completely give up sex."
Avatar: The Last Airbender: Book 3,No,,40100000,349385.0,9.3,"['Animation', 'Action', 'Adventure']","fire,water,action girl,coming of age,spirit","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
Our Planet,Yes,2019-04-05,40100000,34047.0,8.9,"['Documentary', 'Biography']","biodiversity,environmental documentary,nature documentary,forest,bird",One man has seen more of the natural world than any other. This unique feature documentary is his witness statement.
H2O: Just Add Water: Season 1,No,,40000000,17569.0,7.3,"['Adventure', 'Comedy', 'Drama']","girl turned into mermaid,chemical formula in title,human mermaid relationship,falling in love with a mermaid,pretty girl",Three girls become mermaids after a mysterious island transforms them and gives them special powers.
The King: Eternal Monarch: Season 1 // 더 킹: 영원의 군주: 시즌 1,Yes,2020-04-17,39900000,,,"['Documentary', 'Short']",,Join the cast as they celebrate their 100th episode of NCIS: New Orleans.
The Office (U.S.): Season 7,No,,39900000,7.0,7.6,"['Documentary', 'Short']",,
Grey's Anatomy: Season 5,No,,39800000,,,"['Documentary', 'Short']",,
Emergency: NYC: Season 1,Yes,2023-03-29,39700000,,,,,
In the Name of God: A Holy Betrayal: Season 1 // 나는 신이다: 신이 배신한 사람들: 시즌 1,Yes,2023-03-03,39700000,810.0,7.1,"['Documentary', 'Crime']","tv mini series,true crime,criminal,holy,secret",This docuseries examining the chilling true stories of four Korean leaders claiming to be prophets exposes the dark side of unquestioning belief.
Better Call Saul: Season 2,No,2016-02-15,39500000,620143.0,9.0,"['Crime', 'Drama']","lawyer,spin off,psychosomatic illness,criminal lawyer,drug trade",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
Gabby's Dollhouse: Season 6,Yes,2022-11-01,39500000,,,,,
Infiesto,Yes,2023-02-03,39500000,4147.0,5.6,"['Crime', 'Drama', 'Thriller']","covid 19,coronavirus,pandemic,cop drama,detective",
Sanctuary: Season 1 // サンクチュアリ -聖域-: シーズン1,No,2023-05-04,39400000,,,['Documentary'],tv mini series,"Behind the scenes at Natureland Seal Sanctuary in Skegness, Lincolnshire, UK."
Suits (2011): Season 8,No,,39400000,,,"['Short', 'Comedy']",,
Ganglands: Season 1 // Braqueurs : La série: Saison 1,Yes,2021-09-24,39300000,14.0,8.4,"['Animation', 'Drama', 'Sport']","donghua,chinese animation,chinese anime,team sports,basketball","The story focuses on Xu Xing Ze, a passionate basketball player, as he navigates high school, love, and of course basketball."
The Hunger Games,No,,39300000,980208.0,7.2,"['Action', 'Adventure', 'Sci-Fi']","female protagonist,self survival,tough girl,teenage killer,child murderer",Katniss Everdeen voluntarily takes her younger sister&apos;s place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
Trolley: Limited Series // 트롤리: 리미티드 시리즈,Yes,2022-12-19,39200000,,,"['Comedy', 'Talk-Show']",,
High Heat: Season 1 // Donde hubo fuego: Season 1,Yes,2022-08-17,39100000,64.0,6.6,"['Short', 'Sport']","diving,title spoken by character",
Rosario Tijeras (Mexico): Season 3,No,,38900000,419.0,6.3,"['Action', 'Crime', 'Drama']",,The story of a female warrior from one of Mexico City&apos;s poorest and most dangerous neighborhoods.
The Sinner: Season 4: Percy,No,2022-01-26,38900000,,,"['Documentary', 'Short']",,
Avatar: The Last Airbender: Book 2,No,,38700000,349385.0,9.3,"['Animation', 'Action', 'Adventure']","fire,water,action girl,coming of age,spirit","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world."
Ozark: Season 4,Yes,2022-01-21,38700000,,,['Talk-Show'],,"Director of Photography Shawn Kim discusses his work in the final season of this award-winning Netflix crime drama series, in discussion with interviewer James Whitaker, ASC."
Shark Tale,No,,38700000,195540.0,6.0,"['Animation', 'Adventure', 'Comedy']","fish,shark,lie,underwater city,sea",
The Hatchet Wielding Hitchhiker,Yes,2023-01-10,38700000,11837.0,6.2,"['Documentary', 'Crime']","surfer,new jersey,hatchet,hitchhiking,internet sensation",This shocking documentary chronicles a happy-go-lucky nomad&apos;s ascent to viral stardom and the steep downward spiral that resulted in his imprisonment.
6 Underground,Yes,2019-12-13,38600000,192274.0,6.1,"['Action', 'Thriller']","yacht,the future,ensemble cast,italy,florence italy",
Better Call Saul: Season 4,No,2018-08-07,38600000,620143.0,9.0,"['Crime', 'Drama']","lawyer,spin off,psychosomatic illness,criminal lawyer,drug trade",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
Narcos: Season 2,Yes,2016-09-02,38600000,,,['Talk-Show'],,
Grey's Anatomy: Season 6,No,,38400000,,,"['Documentary', 'Short']",,
Mother's Day // Dzień Matki,Yes,2023-05-24,38300000,,,,,
Orange Is the New Black: Season 2,Yes,2014-06-06,38300000,82.0,8.3,"['Short', 'Drama']",,
Vikings (2013): Season 6,No,,38300000,7559.0,9.0,"['Documentary', 'Short']",,
El Chapo: Season 2,Yes,2017-12-15,38200000,,,,,
Brooklyn Nine-Nine: Season 6,No,,38100000,111.0,5.3,['Romance'],,"Aris and Anna meet one evening in a half-abandoned town surrounded by antennas which emit strange sounds and enable the transmission of human voices. In this bizarre, dreamlike world, where things don&apos;t seem quite right - includin..."
Queer Eye: Season 7,Yes,2023-05-12,38100000,,,,,
Sleeping Dog: Limited Series // Schlafende Hunde: Miniserie,Yes,2023-06-22,38000000,,,,,
The Big Bang Theory: Season 4,No,,38000000,31.0,7.3,"['Short', 'Comedy']",behind the scenes,
The Good Doctor: Season 2,No,,38000000,7202.0,5.5,"['Drama', 'Thriller']","stethoscope exam,male doctor in love with female patient,tubi tv,car,u.s. car",A young doctor goes to unconscionable extremes in order to remain in the service of a female patient with a kidney disorder.
Cúmplices de um Resgate: Season 1,No,,37800000,138.0,5.6,"['Adventure', 'Family', 'Music']",based on mexican tv series,"Isabela Junqueira is a girl of 11 years who has the dream of being a great singer. She lives in a luxurious mansion with his mother, an ambitious woman, and her father, a gentle and caring man. However, after taking singing lesson..."
The Big Bang Theory: Season 6,No,,37800000,31.0,7.3,"['Short', 'Comedy']",behind the scenes,
The Flash (2014): Season 3,No,,37700000,507.0,6.9,"['Action', 'Sci-Fi']","the flash character,nightshade character,barry allen character,deadly nightshade character,sequel","The Scarlet Speedster teams up with the city&apos;s previous superhero, The Nightshade, in two adventures."
The Good Doctor: Season 3,No,,37700000,7202.0,5.5,"['Drama', 'Thriller']","stethoscope exam,male doctor in love with female patient,tubi tv,car,u.s. car",A young doctor goes to unconscionable extremes in order to remain in the service of a female patient with a kidney disorder.
Back to the Outback,Yes,2021-12-10,37600000,10054.0,6.5,"['Animation', 'Adventure', 'Comedy']","snake,crocodile,spider,koala,animal",
Booba: Season 4,Yes,,37600000,15.0,7.7,['Animation'],"love,donghua,animal protagonist,bears,chinese animation","The forest animals love trees, flowers and spring. So it&apos;s up to the bear brothers to stop Logger Vick from chopping down every tree."
The Big Bang Theory: Season 7,No,,37600000,31.0,7.3,"['Short', 'Comedy']",behind the scenes,
Vikings (2013): Season 1,No,,37600000,7559.0,9.0,"['Documentary', 'Short']",,
As Aventuras de Poliana: Season 1,No,,37500000,115.0,6.6,"['Adventure', 'Family', 'Romance']",,"Poliana is a loving girl who is alone in the world after her father&apos;s death. A social worker sends her to the home of a distant aunt, an overbearing matriarch."
The Big Bang Theory: Season 5,No,,37400000,31.0,7.3,"['Short', 'Comedy']",behind the scenes,
The Rookie: Season 1,No,,37400000,11869.0,8.4,['Short'],,
Fauda: Season 1 // פאודה: עונה 1,Yes,2016-12-02,37300000,35.0,7.6,"['Short', 'Comedy']",,Uzo Aduba auditioned for every single role in Orange is the New Black before being cast as Crazy Eyes.
Mr. Sunshine: Season 1 // 미스터 션샤인: 시즌 1,Yes,2018-07-07,37300000,,,['Short'],,
2 Guns,No,,37100000,222690.0,6.7,"['Action', 'Comedy', 'Thriller']","bank,female nudity,border,navy base,close up of breasts","Two hardened criminals get into trouble with the US border patrol after meeting with a Mexican drug lord, and then revelations start to unfold."
"Lyle, Lyle, Crocodile",No,,37100000,14055.0,6.1,"['Adventure', 'Comedy', 'Family']","based on children&apos;s book,neighbor,live action and animation,crocodile,new york city",
Money Heist: Part 2 // La casa de papel: Parte 2,Yes,2017-11-30,37100000,,,"['Short', 'Sci-Fi']","fan film,star trek fan film,23rd century,fan production","An ancient, stolen artifact has resurfaced after thousands of years and it&apos;s up to the crew of the Dominion to return it to its rightful owners."
Outlander: Season 2,No,2016-04-10,37100000,237.0,9.3,"['Documentary', 'Short']",,
Queens on the Run // Fuga de reinas,No,2023-04-14,37100000,887.0,4.6,"['Action', 'Comedy']","crew,road trip,snarky teenager,narcissistic characters,egocentric characters",
Shameless (U.S.): Season 4,No,,37100000,14.0,7.7,['Short'],,
S.W.A.T. (2017): Season 4,No,,37000000,,,['Talk-Show'],,"Eric, Melanie and Aaron react to and discuss The Flash Season 4 Trailer - SDCC 2017"
Peaky Blinders: Season 6,No,2022-06-10,36900000,56.0,9.3,['Talk-Show'],,Josh and David recap and review the full third season of BBC&apos;s Peaky Blinders (2013).
Seinfeld: Season 8,Yes,,36900000,,,,,
