Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
The Tale of Despereaux,No,,2900000,39593.0,6.1,"['Animation', 'Adventure', 'Comedy']","close up of eyes,close up of lips,close up of mouth,close up of ear,anthropomorphic food",An unusually brave mouse helps to restore happiness to a forlorn kingdom after making friends with a gentleman rat.
The Vampire Diaries: Season 8,No,,2900000,31.0,7.9,"['Adventure', 'Horror', 'Mystery']","based on multiple sources,schoolteacher,teenager,turned into a vampire,town with a dark secret","Snobbish teen snoop Elena Gilbert begins to suspect that her small quiet town of Fell&apos;s Church, Virginia have been infiltrated by vampires. One of them wants her dead but the other wants her love."
Tom and Jerry,No,,2900000,,,,,
Trolls: The Beat Goes On!: Season 7,Yes,2019-08-27,2900000,944.0,6.0,"['Animation', 'Short', 'Adventure']","troll,singing,dreamworks,based on film","The party keeps on going for Poppy, Branch and the others from DreamWorks Animation&apos;s hit Trolls (2016)."
"Welcome to Fishermen's Seafood Bar: Season 1 // 나만 믿고 먹어봐, 도시횟집: 시즌1",No,,2900000,,,,,
Well-Intended Love: Season 2 // 奈何 Boss 要娶我: 第 2 季,Yes,2020-03-31,2900000,87.0,5.7,"['Short', 'Comedy', 'Musical']","copy boy,love advice,autograph,waltz,ocean liner","Columnist Beatrice Blair dispenses love advice to her readers, but can&apos;t seem to find her own Mr. Right. Reporter Jimmy Jackson has pursued her but with no results. Blair takes her assistant, Helen, on a cruise to the French Rivie..."
Winx Club: Season 7,No,,2900000,7.0,7.6,"['Documentary', 'Short']",,
You Me Her: Season 1,No,2017-02-10,2900000,23.0,8.7,"['Comedy', 'Drama']",couple,Mags and Ash attempt to rekindle their marriage on their vacation after having a baby but kept arguing the whole trip. Mags meets Angela and have an instant connection soon the couple start to reconnect over the idea of a threesome.
3%: Season 3,Yes,2019-06-07,2800000,12874.0,5.0,"['Animation', 'Adventure', 'Comedy']","russian,circus,prince and pauper,look alike,role reversal",Boog&apos;s friends rally to bring him home from a Russian traveling circus.
A Cinderella Story: Christmas Wish,Yes,,2800000,7584.0,5.3,"['Comedy', 'Family', 'Fantasy']","christmas,holiday romance,teen fantasy,direct to video,part of series","Despite her vain stepmother and mean stepsisters, an aspiring singer finds her own holiday miracle as she works as an elf at a Christmas-tree lot."
An Astrological Guide for Broken Hearts: Season 2 // Guida astrologica per cuori infranti: Stagione 2,Yes,2022-03-08,2800000,4058.0,7.1,"['Comedy', 'Romance']","love,life,astrology,horoscope,astrology enthusiast","Alice is heartbroken and hopelessly single. But after befriending a charismatic astrology guru, she looks to the stars to find her perfect match."
Ana Tramel: El juego: Limited Series,No,,2800000,286.0,6.7,['Thriller'],"female nudity,female full frontal nudity","Ana Tramel is a brilliant criminal lawyer in her lowest hours. She receives a call from her brother, who has been accused of murdering the director of a famous casino. With a small team, she will have to face a huge corporation."
Are You Human: Season 1 // 너도 인간이니: 시즌 1,No,,2800000,26879.0,7.5,"['Animation', 'Action', 'Drama']","mecha,pilot,flashback,fictional government agency,self doubt",The fate of the world is threatened by seemingly monstrous entities known as Angels. NERV is an organisation set up to counter this threat and it is up to young pilots to protect Earth but exactly what are the real motives behind ...
Ashfall // 백두산,No,,2800000,5750.0,6.2,"['Action', 'Adventure', 'Sci-Fi']","disaster,cataclysm,destruction,race against time,journey","Stagnant since 1903, at an elevation of 2,744 m, a volcano erupts on the mythical and majestic Baekdu Mountain."
Awake: The Million Dollar Game: Season 1,Yes,2019-06-14,2800000,876.0,6.0,['Game-Show'],"lack of sleep,reaction time,non fiction",24 hours. Zero rest. 1 million dollars on the line. Awake: The Million Dollar Game.
Batman v Superman: Dawn of Justice,No,,2800000,744024.0,6.5,"['Action', 'Adventure', 'Sci-Fi']","superhero,dc extended universe,based on comic book,sequel,sequel to a reboot",Batman is manipulated by Lex Luthor to fear Superman. Superman´s existence is meanwhile dividing the world and he is framed for murder during an international crisis. The heroes clash and force the neutral Wonder Woman to reemerge.
Big Brother (2000): Season 14,No,,2800000,,,"['Biography', 'Reality-TV', 'Talk-Show']",tv special,"Interviews with the new houseguests; a tour of the new house, led by host Arisa Cox; retrospectives on past seasons; a sneak peek into this season&apos;s theme."
"Bless Me, Ultima",No,,2800000,,,,,
Blippi's Spooky Spell Halloween,Yes,,2800000,,,['Family'],,
Brain on Fire,No,2018-06-22,2800000,23678.0,6.6,"['Biography', 'Drama']","rare disease,seizure,based on true story,encephalitis,autoimmune disease","A young, capable professional cannot explain her newly erratic behavior."
"Bua Pun, Beauty and the Blade // บัวผันฟันยับ",No,,2800000,24.0,7.2,,"father,soldier","Bua dreamed of being a soldier since childhood, but her father has always objected and obstructed her goal throughout her childhood. Bua secretly studied to become a swordswoman. She teaches Kam who wants to be a soldier like her."
Børning 3: Asphalt Burning // Børning 3,Yes,2020-12-25,2800000,2694.0,5.2,"['Action', 'Comedy']","franchise,race car,sequel,third part,numbered sequel","The third and final installment in the Burnout trilogy. This time, the road leads trough Norway, to Sweden, Denmark and finally Germany to race on the famous racing track, Nürburgring."
Captain Underpants Epic Choice-o-Rama,Yes,2020-02-11,2800000,156.0,5.8,"['Animation', 'Short', 'Action']",,"In this interactive special, Harold and George need your decision-making skills to stop Krupp from blowing their beloved treehouse to smithereens"
