Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
Christmas Full of Grace // Um Natal Cheio de Graça,Yes,2022-11-30,2800000,743.0,4.4,"['Comedy', 'Romance']","christmas,holiday,christmas season,love,parent","Carlinhos catches his partner cheating, then meets lively Graça, who poses as his new one so he can save face at Christmas with his traditional family."
Christmas with You,Yes,2022-11-17,2800000,7298.0,5.6,"['Comedy', 'Family', 'Romance']","christmas,holiday,small town,love,life",Follows a pop star who&apos;s got a career burnout and escapes to a small town where she finds not only inspiration but a shot of love.
Detective Conan: The Culprit Hanzawa: Season 1 // 名探偵コナン　犯人の犯沢さん: シーズン１,Yes,2022-10-03,2800000,,,,,
Dragon: The Bruce Lee Story,No,,2800000,32493.0,7.0,"['Action', 'Biography', 'Drama']","kung fu,kato,racism,martial arts action,martial arts",
Everybody Loves Raymond: Season 6,No,,2800000,,,"['Short', 'Comedy']",,Characters of Everybody Loves Raymond (1996) watch a movie at AMC.
FIFA Uncovered: Limited Series,Yes,2022-11-09,2800000,,,,,
Flight to You // 向風而行 // 向风而行,No,,2800000,50.0,7.6,"['Comedy', 'Drama', 'Romance']",airport,
Gloria (2015),No,,2800000,12.0,6.2,"['Short', 'Drama', 'Family']",,"Amidst the complex Mexico City, a man drives a public transport bus during daytime and works the night shift impersonating Mexican songstresses in a drag cabaret."
High Crimes,No,,2800000,47271.0,6.4,"['Crime', 'Drama', 'Mystery']","death by gunshot,shot in the back,murder confession,ambidexterity,classified file",A successful criminal defense lawyer&apos;s husband is arrested for murdering 9 villagers in El Salvador in 1988 as US Marine under a different name. She defends him in military court and investigates. Framed?
Home: Adventures with Tip & Oh: Season 2,No,2017-01-27,2800000,260.0,4.2,['Family'],"snow,christmas","Christmas in the Nolan household isn&apos;t what it used to be. On a last minute shopping trip with Dad, the family enters an enchanted store only to discover a dazzling snow globe with magical powers."
Horrid Henry: Season 5,No,,2800000,,,,,
Hunt // 헌트,No,,2800000,4927.0,6.7,"['Action', 'Drama', 'Mystery']","1980s,spy,assassination plot,opening action scene,double agent",The International Unit and The Domestic Unit of the Korean Spy Agency are tasked with the mission of uncovering a North Korean Spy known as Donglim who is deeply embedded within their agency.
I AM A KILLER: RELEASED: Season 1,Yes,2020-08-28,2800000,124.0,6.0,"['Short', 'History']","american civil war,independence day,reference to george washington,statue of liberty,reference to theodore roosevelt","A hypothetical married Polish couple arrives in New York in the early 1840&apos;s and walks to Ohio where they settle and prosper and raise children. The man loses an arm in the Civil war, and with every new war, also loses members of ..."
Intervention: Season 21,No,,2800000,,,,,
Ip Man // 葉問 // 叶问,No,,2800000,231509.0,8.0,"['Action', 'Biography', 'Drama']","martial arts,murder,martial arts master,hand to hand combat,kung fu","During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to ..."
Kid Cosmic: Season 1,Yes,2021-02-02,2800000,51.0,5.4,"['Animation', 'Short']","boxing,boxer,color rhapsodies,scrappy",A Kangaroo tricks his violin playing son into a boxing match to try to trick him into being a boxer.
King Richard,No,,2800000,130207.0,7.5,"['Biography', 'Drama', 'Sport']","tennis player,compton,father,based on real people,tennis coach",A look at how tennis superstars Venus and Serena Williams became who they are after the coaching from their father Richard Williams.
La ley de Herodes,No,,2800000,6877.0,7.8,"['Comedy', 'Crime', 'Drama']","timeframe 1940s,adultery,bar,brothel,car trouble",A naive man appointed as an acting mayor of a small town turns into a corrupt politician capable of anything to stay in power.
LEGO: City Adventures: Season 3,No,,2800000,266.0,6.7,"['Animation', 'Short', 'Action']","cartoon,urban adventure,superhero action","Welcome to LEGO City. A modern metropolis filled with the fiercest firefighters, the cream of the crop cops, and so many BLOCKHEADS. Every citizen will assemble together for the most awesomely awesome adventures."
Luccas Neto em: O Plano dos Vilões,No,,2800000,22.0,6.6,['Comedy'],,
Mad Dog // 매드독,No,,2800000,22519.0,6.2,"['Comedy', 'Crime', 'Drama']","premarital sex,character names as title,forename in title,nickname in title,female topless nudity",
Marshall,No,,2800000,26182.0,7.3,"['Biography', 'Crime', 'Drama']","1940s,lawyer,attorney,african american,judge",
Matti Kusthi,No,,2800000,,,"['Drama', 'Fantasy']",,
Meter,No,,2800000,380.0,3.8,"['Action', 'Comedy', 'Drama']","police officer,police","Arjun Kalyan reluctantly becomes a police officer to fulfill his father&apos;s dream, then an unexpected turn of events forces him to go head-to-head with the home minister of the state."
Monster: Season 1 // 몬스터: 시즌 1,No,,2800000,,,['Comedy'],,"What do Dracula, Frankenstein and a haunted couch have in common? They love to watch scary movies on Halloween."
Monster,Yes,2021-05-07,2800000,3921.0,8.1,"['Drama', 'Thriller']","father,mother,child,children,life",
Nailed It!: Season 6,Yes,2021-09-15,2800000,10.0,7.2,"['Comedy', 'Family', 'Reality-TV']",dog,"Six former winners compete for $100,000; videos include a dog who howls with a toilet paper roll in his mouth, a 14-month-old boy who has been hiding his father&apos;s credit cards, a boy who scares his younger brother with a mask."
New in Town,No,,2800000,24608.0,5.7,"['Comedy', 'Romance']","united states of america,man carries a woman in his arms,new ulm minnesota,going hunting,union rep","A Miami, Florida businesswoman adjusts to her new life in a small Minnesota town."
Off the Hook: Season 1 // Détox: Saison 1,Yes,2022-09-01,2800000,11869.0,8.4,['Short'],,
Om Shanti Om // ओम शांति ओम,Yes,,2800000,48388.0,6.7,"['Action', 'Comedy', 'Drama']","actor,1970s,mumbai india,2000s,fire",
Pinky Malinky: Part 3,Yes,2019-07-17,2800000,123.0,7.1,"['Comedy', 'Family', 'Music']","conclusion,north america",Fonzie & Pinky have both decided to get married but a series of events may prevent them from becoming Mr. & Mrs. Fonzerelli.
Project Mc²: Part 3,Yes,2016-10-14,2800000,1244.0,6.2,['Family'],"psychotronic series,science,technology,spy,girl",
Queen for Seven Days: Season 1 // 7일의 왕비: 시즌 1,No,,2800000,206.0,5.9,"['Short', 'Drama', 'Western']","pony express relay station,race against time,pony express rider,running horse mount,reference to slavery",
Re:ZERO -Starting Life in Another World- Director's Cut: Season 1 // Re:ゼロから始める異世界生活 新編集版,No,,2800000,,,,,
Rebel Cheer Squad: A Get Even Series: Season 1,No,2022-07-29,2800000,276.0,4.9,"['Drama', 'Mystery']",cheerleader,"A trio of cheerleaders at a posh private school revive their former classmates&apos; anti-bullying club, and team up to fight injustice in this teen thriller."
Rip Tide (2017),No,,2800000,3867.0,5.5,"['Drama', 'Family']","model,teenager,teenage girl,australia,australian","Following an embarrassing viral video, a New York model decides to escape from her suffocating existence by visiting her faraway aunt in Australia."
Road to Perdition,No,,2800000,280828.0,7.7,"['Crime', 'Drama', 'Thriller']","based on comic book,dog,bicycle,assassin,murder","A mob enforcer&apos;s son in 1930s Illinois witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge."
Rumspringa - An Amish in Berlin // Rumspringa - Ein Amish in Berlin,Yes,2022-04-29,2800000,,,,,
Running with the Devil: The Wild World of John McAfee,Yes,2022-08-24,2800000,3652.0,5.9,"['Documentary', 'Crime']","biographical documentary,life,murder,mental illness,dog",Life and death of software pioneer John McAfee who developed the software: McAfee Antivirus.
Saving My Stupid Youth: Season 1 // ごめんね青春!: シーズン1,No,,2800000,580.0,7.3,['Comedy'],"japanese drama,tv mini series","Heisuke Hara works as a teacher at an all-boys high school where he had an unfortunate accident 15 years ago. Now, it&apos;s decided that the boys school where he works will be merged with a girls school because of a decline in student..."
Scream: Season 2,No,,2800000,,,['Horror'],"year in title,2010s,number in title",
Shadow: Season 1,No,2019-03-08,2800000,185.0,5.1,"['Family', 'Animation', 'Short']","surrealism,merrie melodies",
Shadow: Season 1,No,2019-03-08,2800000,185.0,5.1,"['Family', 'Animation', 'Short']","surrealism,merrie melodies",
Shazam! (2019),No,,2800000,376930.0,7.0,"['Action', 'Adventure', 'Comedy']","superhero,dc extended universe,caped superhero,origin of hero,captain marvel a.k.a. shazam character",A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.
Soul Surfer,No,,2800000,52136.0,7.0,"['Biography', 'Drama', 'Family']","based on autobiography,surfer,shark attack,shark,christian",Teenage surfer Bethany Hamilton overcomes the odds and her own fears of returning to the water after losing her left arm in a shark attack.
Steel Rain // 강철비,Yes,2018-03-14,2800000,6338.0,7.1,"['Action', 'Drama', 'Thriller']","north korea,political thriller,nuclear war,geopolitics,south korea",
Step Up,No,,2800000,125212.0,6.5,"['Crime', 'Drama', 'Music']","title directed by female,dance school,dance movie,dancing,dance music",
Suburra: Blood on Rome: Season 3 // Suburra: La serie: Stagione 3,Yes,2020-10-30,2800000,16103.0,7.9,"['Action', 'Crime', 'Drama']","gay gangster,gay protagonist,gay kiss,vatican,rome italy","In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican."
Super Monsters: Season 2,Yes,2018-10-05,2800000,,,,,
TAU,Yes,2018-06-29,2800000,34003.0,5.8,"['Horror', 'Sci-Fi', 'Thriller']","artificial intelligence,smart house,computer programmer,computer controlled house,kidnapping","A woman is held captive by a scientist in a futuristic smart house, and hopes to escape by reasoning with the Artificial Intelligence that controls the house."
The Billion Dollar Code: Limited Series,Yes,2021-10-07,2800000,1038.0,7.0,"['Animation', 'Short', 'Action']","clark kent character,lois lane character,superman character,daily planet,metropolis the city",Superman battles train robbers seeking to steal a billion dollars worth of gold.
The Black Phone,No,,2800000,182219.0,6.9,"['Horror', 'Mystery', 'Thriller']","serial child killer,masked killer,child abduction,alcoholic father,basement","After being abducted by a child killer and locked in a soundproof basement, a 13-year-old boy starts receiving calls on a disconnected phone from the killer&apos;s previous victims."
The Game (1997),No,,2800000,421078.0,7.7,"['Drama', 'Mystery', 'Thriller']","surprise ending,brother brother relationship,mind game,game,suicide","After a wealthy San Francisco banker is given an opportunity to participate in a mysterious game, his life is turned upside down as he begins to question if it might really be a concealed conspiracy to destroy him."
The Half Of It,Yes,2020-05-01,2800000,42281.0,6.9,"['Comedy', 'Drama']","lesbian,lesbian teen,lesbian character,single father,lesbian attracted to a straight woman","When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn&apos;t expect to become his friend - or fall for his crush."
The Law of Revenge: Season 1 // Ang Sa Iyo Ay Akin: Season 1,No,,2800000,11869.0,8.4,['Short'],,
The Lost Daughter,No,2021-12-31,2800000,72798.0,6.7,['Drama'],"unruly child,sex scene,motherhood,mother daughter relationship,daughter walks in on mother masturbating",A woman&apos;s beach vacation takes a dark turn when she begins to confront the troubles of her past.
The Master's Sun: Season 1 // 주군의 태양: 시즌 1,No,,2800000,11869.0,8.4,['Short'],,
The Minions of Midas: Limited Series // Los Favoritos de Midas: Miniserie,Yes,2020-11-13,2800000,16.0,7.2,['Comedy'],"parody comedy,spoof","Lost in the middle of nowhere, an eclectic band of characters try to figure out where they are, why they are there and just what went wrong, exactly. Zach wakes up to discover he is lost and abandoned in the middle of the desert. ..."
The Mire '97 // Rojst '97,Yes,2021-07-07,2800000,,,,,
The Mystery of Her,No,,2800000,611.0,6.0,['Drama'],"car accident,high school,small town,women&apos;s soccer,memory loss","After a near fatal car accident, a popular high school student loses her memory and gets a second chance at a more meaningful life."
The Old Ways,Yes,,2800000,7585.0,5.4,"['Drama', 'Fantasy', 'Horror']","chained,bound,witch horror,journalist,captive","Cristina, a journalist of Mexican origin, travels to her ancestral home in Veracruz to investigate a story of sorcery and healing. There, she is kidnapped by a group of locals who claim she&apos;s the devil incarnated."
The Perfect Match: Season 1 // 極品絕配: 第 1 季 // 极品绝配: 第 1 季,Yes,,2800000,4318.0,4.9,"['Comedy', 'Romance']","wedding cake,fertility clinic,infinity pool,photo shoot,beach","A playboy named Charlie, convinced that all his relationships are dead, meets the beautiful and mysterious Eva. Agreeing to a casual affair, Charlie then wants a bit more from their relationship."
The Seven Deadly Sins the Movie: Prisoners of the Sky // 劇場版 七つの大罪 天空の囚われ人,Yes,,2800000,5344.0,7.0,"['Animation', 'Action', 'Adventure']","based on manga,based on anime,holy knight,based on tv series,based on anime series",The Seven Deadly Sins travel to the Sky Temple in search of an elusive ingredient.
The Swarm // La Nuée,No,2021-08-06,2800000,8408.0,4.5,"['Horror', 'Thriller']","bee,military,texas,small town,scientist",
The Teacher (2022): Season 1,No,,2800000,11869.0,8.4,['Short'],,
The Vanishing (2018),No,,2800000,20174.0,5.9,"['Drama', 'Mystery', 'Thriller']","remote island,lighthouse,scotland,lighthouse keeper,year 1900",
The Womb // Inang,Yes,,2800000,674.0,5.9,"['Drama', 'Horror', 'Mystery']","misogyny,baby,child,mother,alone","Grappling with an unplanned pregnancy, a woman turns in desperation to a mysterious older couple who promise to take care of her baby."
Trolls: The Beat Goes On!: Season 5,Yes,2019-01-18,2800000,944.0,6.0,"['Animation', 'Short', 'Adventure']","troll,singing,dreamworks,based on film","The party keeps on going for Poppy, Branch and the others from DreamWorks Animation&apos;s hit Trolls (2016)."
Trump: An American Dream: Limited Series,Yes,2018-03-30,2800000,4381.0,7.2,"['Documentary', 'Biography']","tv mini series,new york city,rich man,reference to donald trump,trump family",
Tunnel // 터널,No,,2800000,10161.0,6.8,"['Drama', 'Thriller']","rescue team,trapped,trapped in a tunnel,tunnel collapse,dog",
Ultramarine Magmell: Season 1 // 群青のマグメル: シーズン1,No,2019-04-07,2800000,786.0,6.1,"['Animation', 'Action', 'Adventure']","superpower,shounen,anime,anime animation,episodic","Unknown creatures. Deadly pitfalls. With so many reckless adventures out to make fortune, someone&apos;s got to rescue them."
Unknown (2011),No,,2800000,267775.0,6.8,"['Action', 'Mystery', 'Thriller']","amnesia,coma,airport,scientist,nurse",
Welcome to Demon School!  Iruma-kun: Season 3 // 魔入りました! 入間くん: 第3シリーズ,No,,2800000,2185.0,7.6,"['Animation', 'Comedy', 'Drama']","anime,demon,isekai,shounen,slice of life",A human child is adopted by a demon and sent to a demon school. He must find a way to survive in the dangerous but fun world he has entered.
Wentworth: Season 7,No,,2800000,,,['Drama'],tv special,GO behind the scenes of Wentworth with Jacquie Brennan who delves into the world of Wentworth&apos;s costumes.
Witch at Court // 마녀의 법정,No,,2800000,552.0,7.4,"['Crime', 'Drama', 'Mystery']","sexual assault,corrupt prosecutor,feminism,bureaucracy",The story revolves around a special prosecution unit that only deals with sex crimes. The team not only solves difficult cases at present but also brings an unsolved case in the past to light.
Wu Kong // 悟空传,No,,2800000,1912.0,5.8,"['Action', 'Adventure', 'Family']","journey to the west,mountain,flying dagger,sun wukong the monkey king character,3d","A giant rebelled against the heavens. It was declared a devil and defeated. The immortal heart evolved into Sun Wukong. The heavens found him, and ravaged his home. He enters the heavenly kingdom, disguised as a human, seeking ret..."
You & Me & Me // เธอกับฉันกับฉัน,No,,2800000,60851.0,5.5,"['Comedy', 'Romance']","racial tension,black american,couple,love,life","Follows a new couple and their families, who find themselves examining modern love and family dynamics amidst clashing cultures, societal expectations and generational differences."
Zero Dark Thirty,No,,2800000,314807.0,7.4,"['Drama', 'History', 'Thriller']","al qaeda,terrorist,special forces,death of osama bin laden,commando raid",
3 Idiots // 3 ईडियट्स,Yes,,2700000,423364.0,8.4,"['Comedy', 'Drama']","hairy chest,motivation,coming of age,against the system,papadum",
A Family Affair (2022),No,,2700000,,,"['Comedy', 'Romance']","boss,love,partner,teenage girl,young girl","An unexpected romance triggers comic consequences for a young woman, her mother, and her boss, grappling with the complications of love, sex, and identity."
A Score to Settle,No,,2700000,6902.0,4.7,"['Action', 'Crime', 'Drama']","retribution,release from prison,release from jail,father son relationship,ex convict",An ex-enforcer for a local crime syndicate has vowed to enact retribution on his mob bosses after 19 years of wrongful imprisonment. The only thing diverting his violent plans is a new found relationship to his beloved son.
American Graffiti,No,,2700000,,,,,
Annie (2014),No,,2700000,39947.0,5.3,"['Comedy', 'Drama', 'Family']","remake,cultural appropriation,twister the game,character name as title,columbia tristar",A foster kid who lives with her mean foster mom sees her life change when business tycoon and New York City mayoral candidate Will Stacks makes a thinly-veiled campaign move and takes her in.
Barnyard,No,,2700000,33753.0,5.6,"['Animation', 'Adventure', 'Comedy']","anthropomorphic animal,animal,farmer,talking animal,nickelodeon",
"Belascoarán, PI: Season 1 // Belascoarán: Temporada 1",Yes,2022-10-12,2700000,,,,,
Big Mäck: Gangsters and Gold // Big Mäck: Gangster und Gold,Yes,2023-01-20,2700000,20.0,6.3,"['Comedy', 'Drama']",,"Two Israeli truck drivers give a ride to a nun and transport cloth from her convent, while hauling two tons of fish in a refrigerated truck over rough desert terrain."
Bigbug,Yes,2022-02-11,2700000,10091.0,5.5,"['Comedy', 'Sci-Fi']","robot sci fi,android,robot,safety,group",A group of bickering suburbanites find themselves stuck together when an android uprising causes their well intentioned household robots to lock them in for their own safety.
Black Holes | The Edge of All We Know,Yes,,2700000,3125.0,6.6,['Documentary'],,"A documentary film following the quest to understand the most mysterious objects in the universe, black holes."
Bling Empire: Season 1,Yes,2021-01-15,2700000,,,,,
Blippi's School Supply Scavenger Hunt,Yes,,2700000,,,['Family'],,
"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.: Season 1 // 痛いのは嫌なので防御力に極振りしたいと思います。: シーズン1",No,,2700000,2279.0,7.4,"['Animation', 'Action', 'Adventure']","friend,isekai,anime animation,based on light novel,anime","Honjou Kaede is invited by her friend Shiramine Risa to play a virtual reality MMO game with her. While Kaede doesn&apos;t dislike games, what she really, truly dislikes is being in pain."
Bordertown: Season 3 // Sorjonen: Kausi 3,No,2020-05-11,2700000,,,"['News', 'Talk-Show']",,"A look at the economies of Ontario&apos;s border communities, and a look at the effect of COVID-19 on tourism in the province."
Cable Girls: Final Season: Part 1 // Las chicas del cable: Temporada final: Parte 1,Yes,2020-02-14,2700000,,,"['Adventure', 'Reality-TV']",,
Catch! Teenieping: Twinkle Catch! Teenieping // 캐치! 티니핑: 반짝반짝 캐치! 티니핑,Yes,,2700000,52.0,6.0,"['Animation', 'Comedy', 'Family']","magical girl,female protagonist,3d animation,south korean,baking",
Challenger: Limited Series,Yes,2020-09-16,2700000,,,,,
Chico Bon Bon: Monkey with a Tool Belt: Season 4,Yes,2020-10-27,2700000,139.0,6.3,"['Animation', 'Family']",monkey,"Armed with tools and engineering smarts, monkey mechanic Chico Bon Bon and his Fix-It Force help the people of Blunderburg solve all of their problems."
Chosen: Season 1,Yes,2022-01-27,2700000,4755.0,8.5,"['Action', 'Drama', 'Thriller']","revenge,based on manhwa,adaptation,youth,school bullying","Yeon Shi-eun is a model student, who ranks at the top at his school. Physically, he appears like a weak boy, but, by using his smarts, tools, and psychology, he fights against violence that takes place inside and outside of his sc..."
Club de Cuervos: Season 3,Yes,2017-09-29,2700000,50.0,5.7,['Family'],"sinterklaasfilm,sinterklaas","Amerigo, the horse of St. Nicholas, can suddenly talk. A villain steals the horse and hopes to win a talent contest with it. Will the Club, with the help of Stijn, succeed in finding the horse back before St. Nicholas&apos; eve?"
Concrete Cowboy,Yes,2021-04-02,2700000,9565.0,6.3,"['Drama', 'Western']","cowboy,teenager,neighbor,horse,house",
Criminal: UK: Season 2,Yes,2020-09-16,2700000,,,,,
Deepa & Anoop: Season 2,Yes,2022-11-07,2700000,,,"['Animation', 'Short', 'Drama']",,"The classic fairy tale tells the story of two step sisters, Deepa and Rupa. Rupa is kind and unselfish; Deepa is uncaring and greedy."
Delhi Crime: Season 2 // दिल्ली क्राइम: सीज़न 2,Yes,2022-08-26,2700000,1579.0,7.9,"['Crime', 'Drama', 'Mystery']","criminal,murder,anthology series,kidnapping,rape",Crime Patrol attempts to bring stories of crime happening all around the country. However the case presentation would be a story telling form that would have the interest of a fiction drama presentation. The prelude and finale to ...
Devilman Crybaby: Limited Series,Yes,2018-01-05,2700000,,,,,
Dig Deeper: The Disappearance of Birgit Meier: Limited Series // Dig Deeper: Das Verschwinden von Birgit Meier: Miniserie,Yes,2021-11-26,2700000,2411.0,7.2,"['Documentary', 'Biography', 'Crime']","tv mini series,true crime,disappearance,germany,german crime","After Birgit Meier vanishes in 1989, police missteps plague the case for years. But her brother never wavers in his tireless quest to find the truth."
Dolemite Is My Name,Yes,2019-10-25,2700000,,,,,
Edge of Tomorrow,No,,2700000,721321.0,7.9,"['Action', 'Adventure', 'Sci-Fi']","time loop,alien,alien invasion,dying repeatedly,trapped in a time loop","A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
Entrapment (1999),No,,2700000,122467.0,6.3,"['Action', 'Crime', 'Romance']","heist,brunette,surveillance,entrapment,art thief",An insurance agent is sent by her employer to track down and help capture an art thief.
Ever After High: Way Too Wonderland,Yes,2015-08-14,2700000,455.0,7.6,"['Animation', 'Adventure', 'Drama']","ever after high,snow white,snow white and the seven dwarfs,fairy tale,german fairy tale","With the Storybook of Legends still in Wonderland, Raven attempts to teleport her friends there despite still getting the hand of her powers. Apple, Raven, Briar, Lizzie, Kitty and Maddie end up in Wonderland in just days away fro..."
Fear (1996),No,,2700000,52611.0,6.2,"['Drama', 'Thriller']","borderline personality disorder,manipulation,self mutilation,attempted rape,rape","When Nicole met David; handsome, charming, affectionate, he was everything. It seemed perfect, but soon she sees that David has a darker side. And his adoration turns to obsession, their dream into a nightmare, and her love into f..."
Four Brothers,No,,2700000,154589.0,6.8,"['Action', 'Crime', 'Drama']","death of brother,death of mother,murder,funeral,saying grace","When their adoptive mother is gunned down in a store robbery, four brothers decide to investigate the murder and find the killers themselves, but not all is what it seems."
Gentefied: Season 1,Yes,2020-02-21,2700000,,,,,
Girlfriends (2000): Season 6,No,,2700000,,,,,
Gogglebox: Season 16,No,,2700000,,,,,
Good Job: Season 1 // 굿잡: 시즌1,No,,2700000,,,"['Short', 'Comedy']",,"A preview for a TV show featuring Gary, a lovable co-worker who&apos;s always getting into mischief at a small publishing company."
Haseen Dillruba // हसीन दिलरुबा,Yes,2021-07-02,2700000,29098.0,6.9,"['Crime', 'Drama', 'Mystery']","murder,knife,blood,darkness,husband wife relationship","Under investigation as a suspect in her husband&apos;s murder, a wife reveals details of their thorny marriage that seem to only further blur the truth."
Heatwave (2022),No,,2700000,2089.0,5.1,['Thriller'],"wife cheats on husband with another woman,female rear nudity,career woman,ambitious woman,love affair","Claire, an ambitious young woman, starts working for a successful and rich businessman, but unknowingly gets involved in an affair with his wife."
Heroes of Goo Jit Zu: Season 1,No,,2700000,42.0,8.0,"['Animation', 'Action', 'Comedy']",,
Hoarders: Season 13,No,,2700000,,,,,
